First Model,Second Model,No. of common elements,Difference in availability,No. of diverging elements
9,31,390,22727,0
9,32,390,22947,0
9,33,390,23172,0
9,34,390,23477,0
9,35,390,23584,0
10,11,636,843,0
10,12,364,267,5
10,13,460,159,17
10,14,502,96,38
10,15,560,1,76
10,16,636,473,0
10,17,636,2249,0
10,18,501,16,135
10,19,579,306,57
10,20,615,487,21
10,21,632,842,4
10,22,636,3326,0
10,23,636,13234,0
10,24,601,7642,35
10,25,629,11288,7
10,26,635,13352,1
10,27,635,16169,1
10,28,636,20700,0
10,29,636,22893,0
10,30,628,22037,8
10,31,636,22481,0
10,32,636,22701,0
10,33,636,22926,0
10,34,636,23231,0
10,35,636,23338,0
11,12,369,1110,0
11,13,477,1002,0
11,14,540,939,0
11,15,637,842,0
11,16,1065,370,44
11,17,1467,1406,12
11,18,634,827,18
11,19,873,537,69
11,20,1008,356,115
11,21,1179,1,299
11,22,1448,2483,31
11,23,1479,12391,0
11,24,1162,6799,317
11,25,1365,10445,114
11,26,1414,12509,65
11,27,1444,15326,35
11,28,1476,19857,3
11,29,1479,22050,0
11,30,1406,21194,73
11,31,1459,21638,20
11,32,1467,21858,12
11,33,1471,22083,8
11,34,1477,22388,2
11,35,1479,22495,0
12,13,369,108,0
12,14,369,171,0
12,15,369,268,0
12,16,369,740,0
12,17,369,2516,0
12,18,368,283,1
12,19,369,573,0
12,20,369,754,0
12,21,369,1109,0
12,22,369,3593,0
12,23,369,13501,0
12,24,369,7909,0
12,25,369,11555,0
12,26,369,13619,0
12,27,369,16436,0
12,28,369,20967,0
12,29,369,23160,0
12,30,369,22304,0
12,31,369,22748,0
12,32,369,22968,0
12,33,369,23193,0
12,34,369,23498,0
12,35,369,23605,0
13,14,477,63,0
13,15,477,160,0
13,16,477,632,0
13,17,477,2408,0
13,18,454,175,23
13,19,477,465,0
13,20,477,646,0
13,21,477,1001,0
13,22,477,3485,0
13,23,477,13393,0
13,24,472,7801,5
13,25,477,11447,0
13,26,477,13511,0
13,27,477,16328,0
13,28,477,20859,0
13,29,477,23052,0
13,30,475,22196,2
13,31,477,22640,0
13,32,477,22860,0
13,33,477,23085,0
13,34,477,23390,0
13,35,477,23497,0
14,15,540,97,0
14,16,540,569,0
14,17,540,2345,0
14,18,486,112,54
14,19,533,402,7
14,20,540,583,0
14,21,540,938,0
14,22,540,3422,0
14,23,540,13330,0
14,24,532,7738,8
14,25,540,11384,0
14,26,540,13448,0
14,27,540,16265,0
14,28,540,20796,0
14,29,540,22989,0
14,30,538,22133,2
14,31,540,22577,0
14,32,540,22797,0
14,33,540,23022,0
14,34,540,23327,0
14,35,540,23434,0
15,16,637,472,0
15,17,637,2248,0
15,18,529,15,108
15,19,611,305,26
15,20,632,486,5
15,21,637,841,0
15,22,637,3325,0
15,23,637,13233,0
15,24,619,7641,18
15,25,637,11287,0
15,26,637,13351,0
15,27,637,16168,0
15,28,637,20699,0
15,29,637,22892,0
15,30,635,22036,2
15,31,637,22480,0
15,32,637,22700,0
15,33,637,22925,0
15,34,637,23230,0
15,35,637,23337,0
16,17,1109,1776,0
16,18,623,457,29
16,19,842,167,100
16,20,950,14,159
16,21,1041,369,68
16,22,1109,2853,0
16,23,1109,12761,0
16,24,974,7169,135
16,25,1086,10815,23
16,26,1101,12879,8
16,27,1107,15696,2
16,28,1109,20227,0
16,29,1109,22420,0
16,30,1086,21564,23
16,31,1107,22008,2
16,32,1109,22228,0
16,33,1109,22453,0
16,34,1109,22758,0
16,35,1109,22865,0
17,18,652,2233,0
17,19,940,1943,2
17,20,1115,1762,8
17,21,1439,1407,39
17,22,2562,1077,323
17,23,2884,10985,1
17,24,2043,5393,842
17,25,2533,9039,352
17,26,2669,11103,216
17,27,2774,13920,111
17,28,2879,18451,6
17,29,2885,20644,0
17,30,2733,19788,152
17,31,2831,20232,54
17,32,2858,20452,27
17,33,2871,20677,14
17,34,2882,20982,3
17,35,2885,21089,0
18,19,652,290,0
18,20,652,471,0
18,21,652,826,0
18,22,652,3310,0
18,23,652,13218,0
18,24,652,7626,0
18,25,652,11272,0
18,26,652,13336,0
18,27,652,16153,0
18,28,652,20684,0
18,29,652,22877,0
18,30,652,22021,0
18,31,652,22465,0
18,32,652,22685,0
18,33,652,22910,0
18,34,652,23215,0
18,35,652,23322,0
19,20,942,181,0
19,21,942,536,0
19,22,942,3020,0
19,23,942,12928,0
19,24,899,7336,43
19,25,941,10982,1
19,26,942,13046,0
19,27,942,15863,0
19,28,942,20394,0
19,29,942,22587,0
19,30,936,21731,6
19,31,942,22175,0
19,32,942,22395,0
19,33,942,22620,0
19,34,942,22925,0
19,35,942,23032,0
20,21,1123,355,0
20,22,1123,2839,0
20,23,1123,12747,0
20,24,1047,7155,76
20,25,1120,10801,3
20,26,1123,12865,0
20,27,1123,15682,0
20,28,1123,20213,0
20,29,1123,22406,0
20,30,1112,21550,11
20,31,1123,21994,0
20,32,1123,22214,0
20,33,1123,22439,0
20,34,1123,22744,0
20,35,1123,22851,0
21,22,1478,2484,0
21,23,1478,12392,0
21,24,1327,6800,151
21,25,1463,10446,15
21,26,1474,12510,4
21,27,1478,15327,0
21,28,1478,19858,0
21,29,1478,22051,0
21,30,1464,21195,14
21,31,1478,21639,0
21,32,1478,21859,0
21,33,1478,22084,0
21,34,1478,22389,0
21,35,1478,22496,0
22,23,3962,9908,0
22,24,3000,4316,962
22,25,3684,7962,278
22,26,3827,10026,135
22,27,3917,12843,45
22,28,3962,17374,0
22,29,3962,19567,0
22,30,3869,18711,93
22,31,3942,19155,20
22,32,3957,19375,5
22,33,3958,19600,4
22,34,3962,19905,0
22,35,3962,20012,0
23,24,7489,5592,789
23,25,10320,1946,1604
23,26,11548,118,2322
23,27,12776,2935,1094
23,28,13795,7466,75
23,29,13870,9659,0
23,30,13495,8803,375
23,31,13697,9247,173
23,32,13768,9467,102
23,33,13823,9692,47
23,34,13864,9997,6
23,35,13870,10104,0
24,25,8278,3646,0
24,26,8278,5710,0
24,27,8278,8527,0
24,28,8278,13058,0
24,29,8278,15251,0
24,30,8278,14395,0
24,31,8278,14839,0
